zh-CN,en-US
表示已与电源断开,Indicates disconnection from the main supply
USB 3.0接口,USB 3.0 port
USB 2.0接口,USB 2.0 port
连接网络,Connects to the network
SBC的接口。,A port for SBC.
VGA接口,VGA port
连接BCS外接显示器,Connects to BCS external display
BCS（Basecall服务器）光纤接口,BCS (BaseCall Service) fiber port
UPS网口,UPS network port
SBC（单板计算机）网络接口,SBC (Single board computer) network port
BCS光纤接口,BCS fiber port
连接UPS,Connects to the UPS
在操作过程中，操作者需遵守实验室安全操作规定，并穿戴好个人防护装备（如实验室防护衣，防护眼镜、口罩、手套和鞋套等）。,"Follow the safety standards of your laboratory and wear protective equipment (such as a laboratory coat, protective glasses, mask, gloves, and shoe covers) when using the device."
地线,Ground wire
连接地线,Connects to the ground wire
连接零线,Connects to the neutral wire
工作流程,Workflow
连接火线,Connects to the live wire
样本、试剂和/或废液中的化学成分会刺激眼睛、皮肤和粘膜，可能造成人身伤害。,"Reagents and waste chemicals may cause personal injury through skin, eye, or mucosal contact."
零线,Neutral wire
火线,Live wire
仪器使用过程中，如出现故障，仪器发出声光警告，或在界面弹出提示信息，操作者可按提示进行故障的初级排查和处理。,"If malfunction occurs during operation, the device beeps, the indicator flashes, or a message is displayed on the screen. Follow the prompt to troubleshoot and solve the problem."
如眼睛或皮肤不慎沾染了有害物质，立即用大量清水冲洗，并寻求医生帮助。,"If you accidentally splash the reagents or waste liquid on the skin or into eyes, immediately flush the affected area with large amounts of water and get medical aid immediately."
下表列出了部分故障及处理方法，如出现本说明书未提及的其它故障，请联系技术支持。,"The following table lists some of the problems and possible solutions. If you need additional assistance, contact the technical support."
过期试剂、废液、废弃样本、消耗品等的排放和处理，遵守所在国家（或地区）的相关规定。,"When disposing of the expired reagents, waste liquid, waste samples, and consumables, comply with local regulations."
将电源开关拨至ON位置后，仪器无法正常开机,"After turning the power switch to the ON position, the device fails to power on."
故障处理,Troubleshooting
故障现象,Problem
处理方法,Recommended action
故障分析,Possible cause
如仍存在故障，请联系技术支持。,"If the problem persists, contact the technical support."
确认电源插头已牢固插入。,Ensure that the power plug is properly connected.
运行软件时报错,Error messages appear when the control software runs.
电源插头未牢固插入,The power plug is not properly connected.
确认电源已连接。,Ensure that the power supply is connected.
可能未连接电源,The power supply is not connected.
参数设置出错,The parameters are not set properly.
点击界面顶部蓝色横线，点击，重启仪器。,Tap the blue horizontal line at the top of the interface and tap to restart the device.
对应软硬件初始化出错,Errors occur when the software communicates with the hardware.
在日志中查看具体的错误并根据提示进行处理。,"Check the detailed error messages in the log, and solve the problem according to on-screen instructions."
芯驱无法正常弹出或弹出卡滞,The flow cell drive fails to pop out fully or becomes stuck during operation.
确认芯驱出口活动板可正常翻开。,Ensure that the exit cover of the flow cell drive functions normally.
芯驱出口活动板卡住无法移动,The exit cover of the flow cell drive becomes stuck and cannot be moved.
轻按芯驱门上的，确认芯驱能正常弹出。,"Press on the flow cell drive door, and the flow cell drive pops out."
确认收集盒已放置到位。,Ensure that the flow cell recycling box is properly placed.
载片回收仓收集盒未放到位,The flow cell recycling box is not properly placed.
载片回收仓载片数量已达上限,The flow cell retrieval compartment is full.
载片回收仓异常,Errors occur in the flow cell retrieval compartment.
清理回收仓内的载片。,Remove the flow cells in the compartment.
载片吸附异常,The flow cell cannot be attached to the flow cell stage.
载片框存在异常,Errors occur in the flow cell frame.
点击界面顶部蓝色横线，点击，重启仪器。,Tap the blue horizontal line at the top of the interface and tap to restart the device.
查看载片平台是否有杂质或异物。,Check the flow cell drive for debris or foreign matters.
检查载片框是否完整平齐。,Check whether the flow cell frame is complete and flush.
载片平台上可能有杂质或异物,Debris or foreign matters may exist on the flow cell drive.
如有异物，参考进行清洁。,"Clean the flow cell drive. For details, refer to."
负压系统存在异常,Errors occur in the negative pressure system.
转移系统未复位,The transfer system does not return to home position.
载片未正确放置,The flow cell is not properly placed.
载片转移异常,Flow cell transfer error
重新放置试剂槽，关闭抽屉及总仓门，再进行自检。,"Place the sequencing reagent cartridge again, close the drawer and general compartment door, and perform a self-check."
界面提示试剂针初始化失败或操作超时,"A message appears, indicating that the initialization of the reagent needle fails or the operation times out."
界面提示废液仓状态异常,"A message appears, indicating that the status of the waste container compartment is abnormal."
确认载片已正确放置。,Ensure that the flow cell is properly placed.
